mRNA_case_submitter_id,clinical_case_submitter_id
TCGA-EB-A44R-06A-41R-A266-07,TCGA-EB-A4IQ
TCGA-EB-A4IQ-01A-12R-A266-07,TCGA-EB-A4IS
TCGA-EB-A4IS-01A-21R-A266-07,TCGA-EB-A4OY
TCGA-EB-A4OY-01A-11R-A266-07,TCGA-EB-A4OZ
TCGA-EB-A4OZ-01A-12R-A266-07,TCGA-EB-A4P0
TCGA-EB-A4P0-01A-41R-A266-07,TCGA-EB-A4XL
TCGA-EB-A4XL-01A-11R-A27Q-07,TCGA-EB-A51B
TCGA-EB-A51B-01A-11R-A27Q-07,TCGA-EB-A550
TCGA-EB-A550-01A-61R-A27Q-07,TCGA-EB-A551
TCGA-EB-A551-01A-21R-A27Q-07,TCGA-EB-A553
TCGA-EB-A553-01A-12R-A27Q-07,TCGA-EB-A57M
TCGA-EB-A57M-01A-51R-A311-07,TCGA-EB-A5FP
TCGA-EB-A5FP-01A-11R-A27Q-07,TCGA-EB-A5KH
TCGA-EB-A5KH-06A-11R-A27Q-07,TCGA-EB-A5SE
TCGA-EB-A5SE-01A-11R-A311-07,TCGA-EB-A5SF
TCGA-EB-A5SF-01A-11R-A311-07,TCGA-EB-A5SG
TCGA-EB-A5SG-06A-11R-A311-07,TCGA-EB-A5SH
TCGA-EB-A5SH-06A-11R-A311-07,TCGA-EB-A5UL
TCGA-EB-A5UL-06A-11R-A311-07,TCGA-EB-A5UM
TCGA-EB-A5UM-01A-11R-A311-07,TCGA-EB-A5UN
TCGA-EB-A5UN-06A-11R-A311-07,TCGA-EB-A5VU
TCGA-EB-A5VU-01A-21R-A32P-07,TCGA-EB-A5VV
TCGA-EB-A5VV-06A-11R-A32P-07,TCGA-EB-A6L9
TCGA-EB-A6L9-06A-11R-A32P-07,TCGA-EB-A6QY
TCGA-EB-A6QY-01A-12R-A32P-07,TCGA-EB-A6QZ
TCGA-EB-A6QZ-01A-12R-A32P-07,TCGA-EB-A6R0
TCGA-EB-A6R0-01A-12R-A32P-07,TCGA-EB-A82B
TCGA-EB-A82B-01A-11R-A352-07,TCGA-EB-A82C
TCGA-EB-A82C-01A-11R-A352-07,TCGA-EB-A85I
TCGA-EB-A85I-01A-11R-A352-07,TCGA-EB-A85J
TCGA-EB-A85J-01A-12R-A352-07,TCGA-EB-A97M
TCGA-EB-A97M-01A-11R-A38C-07,TCGA-EE-A17X
TCGA-EE-A17X-06A-11R-A18S-07,TCGA-EE-A17Y
TCGA-EE-A17Y-06A-11R-A18T-07,TCGA-EE-A17Z
TCGA-EE-A17Z-06A-11R-A18S-07,TCGA-EE-A180
TCGA-EE-A180-06A-11R-A21D-07,TCGA-EE-A181
TCGA-EE-A181-06A-11R-A18S-07,TCGA-EE-A182
TCGA-EE-A182-06A-11R-A18T-07,TCGA-EE-A183
TCGA-EE-A183-06A-11R-A18S-07,TCGA-EE-A184
TCGA-EE-A184-06A-11R-A18S-07,TCGA-EE-A185
TCGA-EE-A185-06A-11R-A18S-07,TCGA-EE-A20B
TCGA-EE-A20B-06A-11R-A18U-07,TCGA-EE-A20C
TCGA-EE-A20C-06A-11R-A18S-07,TCGA-EE-A20F
TCGA-EE-A20F-06A-21R-A18S-07,TCGA-EE-A20H
TCGA-EE-A20H-06A-11R-A18S-07,TCGA-EE-A20I
TCGA-EE-A20I-06A-11R-A18U-07,TCGA-EE-A29A
TCGA-EE-A29A-06A-12R-A18U-07,TCGA-EE-A29B
TCGA-EE-A29B-06A-11R-A18U-07,TCGA-EE-A29C
TCGA-EE-A29C-06A-21R-A18S-07,TCGA-EE-A29D
TCGA-EE-A29D-06A-11R-A18T-07,TCGA-EE-A29E
TCGA-EE-A29E-06A-11R-A18T-07,TCGA-EE-A29G
TCGA-EE-A29G-06A-12R-A18T-07,TCGA-EE-A29H
TCGA-EE-A29H-06A-12R-A18S-07,TCGA-EE-A29L
TCGA-EE-A29L-06A-12R-A18S-07,TCGA-EE-A29M
TCGA-EE-A29M-06A-11R-A18T-07,TCGA-EE-A29N
TCGA-EE-A29N-06A-12R-A18S-07,TCGA-EE-A29P
TCGA-EE-A29P-06A-11R-A18T-07,TCGA-EE-A29Q
TCGA-EE-A29Q-06A-11R-A18T-07,TCGA-EE-A29R
TCGA-EE-A29R-06A-11R-A18T-07,TCGA-EE-A29S
TCGA-EE-A29S-06A-11R-A18T-07,TCGA-EE-A29T
TCGA-EE-A29T-06A-11R-A18T-07,TCGA-EE-A29V
TCGA-EE-A29V-06A-12R-A18S-07,TCGA-EE-A29W
TCGA-EE-A29W-06A-11R-A18U-07,TCGA-EE-A29X
TCGA-EE-A29X-06A-11R-A18T-07,TCGA-EE-A2A0
TCGA-EE-A2A0-06A-11R-A18T-07,TCGA-EE-A2A1
TCGA-EE-A2A1-06A-11R-A18T-07,TCGA-EE-A2A2
TCGA-EE-A2A2-06A-11R-A18T-07,TCGA-EE-A2A5
TCGA-EE-A2A5-06A-11R-A18T-07,TCGA-EE-A2A6
TCGA-EE-A2A6-06A-11R-A18T-07,TCGA-EE-A2GB
TCGA-EE-A2GB-06A-11R-A18T-07,TCGA-EE-A2GC
TCGA-EE-A2GC-06A-11R-A18T-07,TCGA-EE-A2GD
TCGA-EE-A2GD-06A-11R-A18T-07,TCGA-EE-A2GE
TCGA-EE-A2GE-06A-11R-A18T-07,TCGA-EE-A2GH
TCGA-EE-A2GH-06A-11R-A18T-07,TCGA-EE-A2GI
TCGA-EE-A2GI-06A-11R-A18T-07,TCGA-EE-A2GJ
TCGA-EE-A2GJ-06A-11R-A18U-07,TCGA-EE-A2GK
TCGA-EE-A2GK-06A-11R-A18S-07,TCGA-EE-A2GL
TCGA-EE-A2GL-06A-11R-A18S-07,TCGA-EE-A2GM
TCGA-EE-A2GM-06B-11R-A18S-07,TCGA-EE-A2GN
TCGA-EE-A2GN-06A-11R-A18S-07,TCGA-EE-A2GO
TCGA-EE-A2GO-06A-11R-A18S-07,TCGA-EE-A2GP
TCGA-EE-A2GP-06A-11R-A18S-07,TCGA-EE-A2GR
TCGA-EE-A2GR-06A-11R-A18S-07,TCGA-EE-A2GS
TCGA-EE-A2GS-06A-12R-A18S-07,TCGA-EE-A2GT
TCGA-EE-A2GT-06A-12R-A18S-07,TCGA-EE-A2GU
TCGA-EE-A2GU-06A-11R-A18T-07,TCGA-EE-A2M5
TCGA-EE-A2M5-06A-12R-A18S-07,TCGA-EE-A2M6
TCGA-EE-A2M6-06A-12R-A18S-07,TCGA-EE-A2M7
TCGA-EE-A2M7-06A-11R-A18U-07,TCGA-EE-A2M8
TCGA-EE-A2M8-06A-12R-A18S-07,TCGA-EE-A2MC
TCGA-EE-A2MC-06A-12R-A18S-07,TCGA-EE-A2MD
TCGA-EE-A2MD-06A-11R-A18T-07,TCGA-EE-A2ME
TCGA-EE-A2ME-06A-11R-A18T-07,TCGA-EE-A2MF
TCGA-EE-A2MF-06A-11R-A21D-07,TCGA-EE-A2MG
TCGA-EE-A2MG-06A-11R-A18T-07,TCGA-EE-A2MH
TCGA-EE-A2MH-06A-11R-A18S-07,TCGA-EE-A2MI
TCGA-EE-A2MI-06A-11R-A18U-07,TCGA-EE-A2MJ
TCGA-EE-A2MJ-06A-11R-A18S-07,TCGA-EE-A2MK
TCGA-EE-A2MK-06A-11R-A18S-07,TCGA-EE-A2ML
TCGA-EE-A2ML-06A-11R-A18S-07,TCGA-EE-A2MM
TCGA-EE-A2MM-06A-11R-A18S-07,TCGA-EE-A2MN
TCGA-EE-A2MN-06A-11R-A18S-07,TCGA-EE-A2MP
TCGA-EE-A2MP-06A-11R-A18S-07,TCGA-EE-A2MQ
TCGA-EE-A2MQ-06A-11R-A18S-07,TCGA-EE-A2MR
TCGA-EE-A2MR-06A-11R-A18S-07,TCGA-EE-A2MS
TCGA-EE-A2MS-06A-11R-A18S-07,TCGA-EE-A2MT
TCGA-EE-A2MT-06A-11R-A18S-07,TCGA-EE-A2MU
TCGA-EE-A2MU-06A-21R-A18S-07,TCGA-EE-A3AA
TCGA-EE-A3AA-06A-11R-A18S-07,TCGA-EE-A3AB
TCGA-EE-A3AB-06A-11R-A18S-07,TCGA-EE-A3AC
TCGA-EE-A3AC-06A-11R-A18S-07,TCGA-EE-A3AD
TCGA-EE-A3AD-06A-11R-A18S-07,TCGA-EE-A3AE
TCGA-EE-A3AE-06A-11R-A18S-07,TCGA-EE-A3AF
TCGA-EE-A3AF-06A-11R-A18S-07,TCGA-EE-A3AG
TCGA-EE-A3AG-06A-31R-A18S-07,TCGA-EE-A3AH
TCGA-EE-A3AH-06A-11R-A18S-07,TCGA-EE-A3J3
TCGA-EE-A3J3-06A-11R-A20F-07,TCGA-EE-A3J4
TCGA-EE-A3J4-06A-11R-A20F-07,TCGA-EE-A3J5
TCGA-EE-A3J5-06A-11R-A20F-07,TCGA-EE-A3J7
TCGA-EE-A3J7-06A-11R-A20F-07,TCGA-EE-A3J8
TCGA-EE-A3J8-06A-11R-A20F-07,TCGA-EE-A3JA
TCGA-EE-A3JA-06A-11R-A20F-07,TCGA-EE-A3JB
TCGA-EE-A3JB-06A-11R-A21D-07,TCGA-EE-A3JD
TCGA-EE-A3JD-06A-11R-A20F-07,TCGA-EE-A3JE
TCGA-EE-A3JE-06A-11R-A20F-07,TCGA-EE-A3JH
TCGA-EE-A3JH-06A-11R-A21D-07,TCGA-EE-A3JI
TCGA-EE-A3JI-06A-11R-A21D-07,TCGA-ER-A193
TCGA-ER-A193-06A-12R-A18S-07,TCGA-ER-A194
TCGA-ER-A194-01A-11R-A18U-07,TCGA-ER-A195
TCGA-ER-A195-06A-11R-A18U-07,TCGA-ER-A196
TCGA-ER-A196-01A-11R-A18T-07,TCGA-ER-A197
TCGA-ER-A197-06A-32R-A18S-07,TCGA-ER-A198
TCGA-ER-A198-06A-11R-A18T-07,TCGA-ER-A199
TCGA-ER-A199-06A-11R-A18T-07,TCGA-ER-A19A
TCGA-ER-A19A-06A-21R-A18U-07,TCGA-ER-A19B
TCGA-ER-A19B-06A-11R-A18S-07,TCGA-ER-A19C
TCGA-ER-A19C-06A-11R-A18S-07,TCGA-ER-A19D
TCGA-ER-A19D-06A-11R-A18S-07,TCGA-ER-A19E
TCGA-ER-A19E-06A-11R-A18S-07,TCGA-ER-A19F
TCGA-ER-A19F-06A-11R-A18S-07,TCGA-ER-A19G
TCGA-ER-A19G-06A-11R-A18U-07,TCGA-ER-A19H
TCGA-ER-A19H-06A-12R-A18S-07,TCGA-ER-A19J
TCGA-ER-A19J-06A-11R-A18S-07,TCGA-ER-A19K
TCGA-ER-A19K-01A-21R-A18T-07,TCGA-ER-A19L
TCGA-ER-A19L-06A-12R-A18S-07,TCGA-ER-A19M
TCGA-ER-A19M-06A-61R-A239-07,TCGA-ER-A19N
TCGA-ER-A19N-06A-11R-A18S-07,TCGA-ER-A19O
TCGA-ER-A19O-06A-11R-A18S-07,TCGA-ER-A19P
TCGA-ER-A19P-06A-11R-A18S-07,TCGA-ER-A19Q
TCGA-ER-A19Q-06A-11R-A18U-07,TCGA-ER-A19S
TCGA-ER-A19S-06A-11R-A18U-07,TCGA-ER-A19T
TCGA-ER-A19T-06A-11R-A18U-07,TCGA-ER-A19W
TCGA-ER-A19T-01A-11R-A18T-07,TCGA-ER-A1A1
TCGA-ER-A19W-06A-41R-A239-07,TCGA-ER-A2NB
TCGA-ER-A1A1-06A-11R-A18U-07,TCGA-ER-A2NC
